Timestamp,Time_Seconds,LoadCell1_Raw,LoadCell1_Delta,LoadCell2_Raw,LoadCell2_Delta
2026-02-15 14:44:06.886,48.909,-586555,-6285,-598074,-23044
2026-02-15 14:44:07.079,49.102,-573682,6588,-594221,-19191
2026-02-15 14:44:07.273,49.295,-571649,8621,-592103,-17072
2026-02-15 14:44:07.466,49.489,-548795,31475,-594917,-19886
2026-02-15 14:44:07.659,49.682,-560243,20027,-561070,13961
2026-02-15 14:44:07.853,49.875,-590884,-10614,-579312,-4281
2026-02-15 14:44:08.046,50.068,-563118,17152,-565136,9895
2026-02-15 14:44:08.239,50.262,-576763,3507,-562612,12418
2026-02-15 14:44:08.433,50.455,-567169,13101,-549434,25597
2026-02-15 14:44:08.626,50.649,-552853,27417,-565329,9702
2026-02-15 14:44:08.819,50.842,-576529,3741,-565269,9762
2026-02-15 14:44:09.013,51.035,-565693,14577,2249805,2824836
2026-02-15 14:44:09.206,51.228,-579647,623,-598716,-23685
2026-02-15 14:44:09.399,51.422,-586915,-6645,-2178159,-1603128
2026-02-15 14:44:09.592,51.615,-601282,-21012,-592031,-17000
2026-02-15 14:44:09.786,51.808,-586590,-6320,-595702,-20671
2026-02-15 14:44:09.979,52.002,-594477,-14207,-566677,8354
2026-02-15 14:44:10.172,52.195,-575173,5097,-559125,15905
2026-02-15 14:44:10.365,52.388,-572098,8172,-566060,8971
2026-02-15 14:44:10.559,52.581,-551886,28384,-572129,2902
2026-02-15 14:44:10.752,52.775,-566222,14048,-567615,7415
2026-02-15 14:44:10.945,52.968,-605110,-24840,-587777,-12746
2026-02-15 14:44:11.139,53.161,-553746,26524,-588298,-13267
2026-02-15 14:44:11.332,53.354,-581785,-1515,-574232,799
2026-02-15 14:44:11.525,53.548,1573703,2153973,-2404524,-1829493
2026-02-15 14:44:11.718,53.741,-570826,9444,-562575,12455
2026-02-15 14:44:11.912,53.934,-576051,4219,-560163,14868
2026-02-15 14:44:12.105,54.127,-573274,6996,-385988,189042
2026-02-15 14:44:12.298,54.321,368172,948442,1540526,2115557
2026-02-15 14:44:12.492,54.514,-567875,12395,-122712,452318
2026-02-15 14:44:12.685,54.707,-1330969,-750699,1402597,1977628
2026-02-15 14:44:12.878,54.901,2853063,3433333,-1034908,-459877
2026-02-15 14:44:13.071,55.094,-2248787,-1668517,-6046725,-5471694
2026-02-15 14:44:13.265,55.287,-2244780,-1664510,5380487,5955517
2026-02-15 14:44:13.458,55.480,-2236933,-1656663,-2235925,-1660894
2026-02-15 14:44:13.651,55.674,-2245555,-1665285,1578912,2153943
